country,confederation,year_start,year_end
Qatar,AFC,1970,
Raetia,CONIFA,2014,
Republic of Ireland,UEFA,1954,
Republic of St. Pauli,,,
Reunion,CAF,1992,
Rhodes,,,
Romani people,CONIFA,2014,
Romania,UEFA,1954,
Russia,UEFA,1954,
Rwanda,CAF,1972,
Ryakya,,,
Saare County,,,
Saarland,,,
Saint Barthelemy,,,
Saint Helena,,,
Saint Kitts and Nevis,CONCACAF,1992,
Saint Lucia,CONCACAF,1988,
Saint Martin,CONCACAF,2013,
Saint Pierre and Miquelon,,,
Saint Vincent and the Grenadines,CONCACAF,1988,
Samoa,OFC,1986,
San Marino,UEFA,1988,
Sao Tome and Principe,CAF,1986,
Sapmi,CONIFA,2014,
Sark,CONIFA,2015,
Saudi Arabia,AFC,1956,
Saugeais,,,
Scotland,UEFA,1954,
Sealand,,,
Seborga,,,
Senegal,CAF,1963,
Serbia,UEFA,2003,
Seychelles,CAF,1986,
Shetland,,,
Sierra Leone,CAF,1967,
Silesia,CONIFA,2015,
Singapore,AFC,1954,
Sint Maarten,CONCACAF,2013,
Slovakia,UEFA,1993,
Slovenia,UEFA,1993,
Solomon Islands,OFC,1988,
Somalia,CAF,1968,
Somaliland,CONIFA,2014,
South Africa,CAF,1957,1961
South Korea,AFC,1954,
South Ossetia,CONIFA,2014,
South Sudan,CAF,2012,
Spain,UEFA,1954,
Sri Lanka,AFC,1954,
Sudan,CAF,1957,
Suriname,CONCACAF,1961,
Sweden,UEFA,1954,
Switzerland,UEFA,1954,
Syria,AFC,1969,
Szekely Land,CONIFA,2014,
Tahiti,OFC,1990,
Taiwan,AFC,1954,
Tajikistan,AFC,1994,
Tamil Eelam,CONIFA,2014,
Tanzania,CAF,1964,
Thailand,AFC,1956,
Tibet,CONIFA,2014,
Ticino,,,
Timor-Leste,AFC,2002,
Togo,CAF,1962,
Tonga,OFC,1994,
Trinidad and Tobago,CONCACAF,1961,
Tunisia,CAF,1960,
Turkey,UEFA,1954,
Turkmenistan,AFC,1994,
Turks and Caicos Islands,CONCACAF,1996,
Tuvalu,OFC,2006,
Uganda,CAF,1960,
Ukraine,UEFA,1992,
United Arab Emirates,AFC,1974,
United Koreans in Japan,CONIFA,2014,
United States,CONCACAF,1961,
United States Virgin Islands,CONCACAF,1992,
Uruguay,CONMEBOL,1916,
Uzbekistan,AFC,1994,
Vanuatu,OFC,1988,
Vatican City,,,
Venezuela,CONMEBOL,1953,
Vietnam,AFC,1962,
Vietnam Republic,AFC,1954,1976
Wales,UEFA,1954,
Wallis Islands and Futuna,,,
West Papua,,,
Western Armenia,CONIFA,2014,
Western Australia,,,
Western Isles,,,
Western Sahara,CONIFA,2014,
Yemen,AFC,1980,
Yemen DPR,AFC,1962,1990
Ynys Mon,,,
Yorkshire,CONIFA,2017,
Yoruba Nation,CONIFA,2016,
Yugoslavia,UEFA,1954,2003
Zambia,CAF,1964,
Zanzibar,CAF,2004,2017
Zimbabwe,CAF,1980,
South Africa,CAF,1992,
Israel,AFC,1954,1974
Kazakhstan,AFC,1994,2001
Australia,OFC,1966,2005
